Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
DE Offshore North_Sea_Near_West 3233 54.0 7.5 Base Wind Speed 90p 			Value	2000-01-01	2100-01-01	0.9	DE Offshore North_Sea_Near_West 3233 54.0 7.5 Base Wind Speed	Multiply					
EnergyConversionsFile			Data_Type	2000-01-01	2100-01-01	File							
EnergyConversionsFile			Location	2000-01-01	2100-01-01	/Variables/Conversions/EnergyConversions.txt							
EnergyConversionsFile			Location_Type	2000-01-01	2100-01-01	Relative							
ETS EUA			Price	2000-01-01	2100-01-01	Fuel Price File							
ETS EUA			Price	2000-01-01	2100-01-01	Fuel Price File	CO2 Stochastic	Multiply					CO2 Stochastics
Japan Biomass			Value	2000-01-01	2100-01-01	Fuel Price File							
Japan Lignite			Value	2000-01-01	2100-01-01	Fuel Price File							
Japan LSFO			Value	2000-01-01	2100-01-01	Fuel Price File							
Japan Uranium			Value	2000-01-01	2100-01-01	Fuel Price File							
EU Biomass			Value	2000-01-01	2100-01-01	Fuel Price File							
EU Lignite			Value	2000-01-01	2100-01-01	Fuel Price File							
EU LSFO			Value	2000-01-01	2100-01-01	Fuel Price File							
EU Uranium			Value	2000-01-01	2100-01-01	Fuel Price File							
EUR	EUR	USD	fx_rate	2000-01-01	2100-01-01	0.769230769							
Fuel Price File			Data_Type	2000-01-01	2100-01-01	File							
Fuel Price File			Location	2000-01-01	2100-01-01	/Variables/Fuels/BaseFuels.txt							
Fuel Price File			Location	2000-01-01	2100-01-01	/Variables/Fuels/NP_2022Q1/BaseFuels.txt							NP_2022Q1
Fuel Price File			Location	2000-01-01	2100-01-01	/Variables/Fuels/NP_2022Q1/BaseFuels.txt							ED_2022Q1
Fuel Price File			Location	2000-01-01	2100-01-01	/Variables/Fuels/NP_2022Q1/BaseFuels.txt							EL_2022Q1
Fuel Price File			Location_Type	2000-01-01	2100-01-01	Relative							
Generic Offshore Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
Generic Onshore Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
Generic Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
GJ			Value	2000-01-01	2100-01-01	EnergyConversionsFile							
height_coefficient			Value	2000-01-01	2100-01-01	-0.001281578							
height_x_windspeed_coefficient			Value	2000-01-01	2100-01-01	0.000921908							
Henry Hub Gas			Value	2000-01-01	2100-01-01	Fuel Price File							
HWST Offshore Wind Power Curve			Value	2000-01-01	2100-01-01	Power Curve File							
