Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
TU-TO	TU	TO	Capacity	2000-01-01	2100-01-01	10000							
TO-TU	TO	TU	Capacity	2000-01-01	2100-01-01	10000							
TU-TO			Line_Loss	2000-01-01	2100-01-01	0.01							
TO-TU			Line_Loss	2000-01-01	2100-01-01	0.01							
TU-HO	TU	HO	Capacity	2000-01-01	2100-01-01	10000							
HO-TU	HO	TU	Capacity	2000-01-01	2100-01-01	10000							
TU-HO			Line_Loss	2000-01-01	2100-01-01	0.01							
HO-TU			Line_Loss	2000-01-01	2100-01-01	0.01							
